demarcacion_hidrografica,nombre_embalse,mes,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cantábrico Occidental,Alfilorios,1,4.8,5.2,8.0,7.0,5.5,6.0,5.8,3.25,8.0,7.5,1.25,6.0,3.0,5.75,8.0,5.25,8.0,6.0,6.25,6.0,4.75,4.5,4.0,6.2,6.5,8.0,7.0,7.0,3.6
Cantábrico Occidental,Alfilorios,2,5.0,6.0,8.0,6.75,6.0,6.0,7.5,3.0,8.0,8.0,2.75,6.25,3.5,5.0,8.0,6.0,8.0,6.75,7.75,6.75,6.0,5.5,4.75,7.75,8.0,8.0,8.0,7.0,5.25
Cantábrico Occidental,Alfilorios,3,5.75,6.5,8.0,6.4,6.0,6.0,8.0,4.0,8.0,8.0,4.4,7.25,5.0,5.0,8.0,7.0,8.0,8.0,8.0,7.75,7.8,7.4,5.0,8.0,7.75,8.0,8.0,7.2,6.0
Cantábrico Occidental,Alfilorios,4,5.25,7.2,6.8,6.5,6.5,7.0,8.0,4.6,7.0,8.0,6.25,7.75,6.25,5.6,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,5.0,8.0,8.0,8.0,8.0,8.0,6.0
Cantábrico Occidental,Alfilorios,5,5.0,8.0,6.0,8.0,7.0,8.0,8.0,6.5,6.0,8.0,7.4,7.4,7.8,7.25,8.0,7.5,8.0,8.0,8.0,8.0,8.0,8.0,4.0,8.0,8.0,8.0,8.0,8.0,5.0
Cantábrico Occidental,Alfilorios,6,5.0,8.0,5.75,8.0,6.0,7.75,8.0,7.0,5.5,7.8,8.0,6.25,8.0,8.0,7.8,8.0,8.0,8.0,8.0,7.75,7.0,8.0,3.75,8.0,7.0,8.0,8.0,7.5,5.0
Cantábrico Occidental,Alfilorios,7,4.0,7.2,5.2,7.0,4.75,6.75,6.6,8.0,5.0,6.5,6.5,5.25,7.0,8.0,7.0,8.0,8.0,7.0,8.0,6.8,5.75,7.75,3.0,8.0,6.8,7.25,8.0,7.0,5.0
Cantábrico Occidental,Alfilorios,8,4.0,7.0,5.25,6.25,3.8,5.0,5.75,7.0,4.0,5.4,5.4,4.4,7.0,7.25,6.25,7.0,7.4,6.0,7.0,5.5,4.5,6.8,2.6,8.0,5.5,6.25,7.2,6.0,4.0
Cantábrico Occidental,Alfilorios,9,3.25,7.0,5.8,5.0,3.0,3.5,4.5,7.75,3.2,4.25,5.0,3.25,6.75,6.4,5.8,6.0,6.5,5.0,6.0,4.6,3.6,5.75,2.25,7.75,5.0,5.4,5.75,4.75,4.0
Cantábrico Occidental,Alfilorios,10,3.0,6.8,6.0,4.75,3.0,3.0,3.8,7.0,3.0,0.75,4.0,3.0,6.0,5.25,4.75,6.0,5.75,4.0,5.0,3.0,3.25,4.75,2.4,6.4,4.0,5.75,4.5,4.0,3.6
Cantábrico Occidental,Alfilorios,11,3.0,6.75,6.5,5.0,3.4,4.0,3.0,7.0,4.0,0.0,4.2,3.0,6.0,6.25,4.25,7.4,5.4,4.5,5.0,3.0,4.0,4.2,2.75,7.0,5.25,6.0,4.2,3.0,4.0
Cantábrico Occidental,Alfilorios,12,3.75,8.0,6.8,5.0,4.5,5.0,3.5,7.6,6.0,0.0,5.0,3.0,6.0,7.8,4.8,8.0,6.0,5.5,5.2,3.6,4.0,4.5,4.5,7.0,7.4,6.0,6.0,3.0,5.0
Cantábrico Occidental,Alsa - Mediajo,1,16.8,11.6,18.0,18.75,14.0,13.75,13.4,13.25,14.5,17.25,17.5,17.0,15.0,16.25,17.0,16.75,15.75,19.0,21.0,21.0,20.75,17.0,17.4,21.2,18.5,21.0,20.75,21.75,16.0
Cantábrico Occidental,Alsa - Mediajo,2,18.0,13.0,16.0,18.0,17.0,14.4,17.0,14.25,17.75,16.5,19.5,18.25,17.25,17.25,17.5,18.75,15.5,21.0,22.0,21.75,23.0,18.25,18.5,21.75,22.0,20.25,21.5,21.0,18.25
