demarcacion_hidrografica,nombre_embalse,porcentaje_medio_10
Cantábrico Occidental,Alfilorios,75.05
Cantábrico Occidental,Alsa - Mediajo,64.99
Cantábrico Occidental,Arbón,91.38
Cantábrico Occidental,"Barca, La",77.46
Cantábrico Occidental,"Cohilla, La",42.82
Cantábrico Occidental,Doiras,83.14
Cantábrico Occidental,Rioseco,75.92
Cantábrico Occidental,Salime,69.41
Cantábrico Occidental,Somiedo (Lagos),36.13
Cantábrico Occidental,Tanes,77.84
Cantábrico Oriental,Añarbe,73.42
Cantábrico Oriental,Ibiur,75.91
Cantábrico Oriental,Ordunte,80.02
Cantábrico Oriental,San Antón,90.39
Cuenca Mediterránea Andaluza,Benínar,21.67
Cuenca Mediterránea Andaluza,Béznar,68.54
Cuenca Mediterránea Andaluza,Casasola,55.43
Cuenca Mediterránea Andaluza,Charco Redondo,57.64
Cuenca Mediterránea Andaluza,Concepción,72.55
Cuenca Mediterránea Andaluza,Conde Guadalhorce,53.36
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,11.64
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,54.36
Cuenca Mediterránea Andaluza,Guadarranque,70.19
Cuenca Mediterránea Andaluza,Limonero,39.94
Cuenca Mediterránea Andaluza,Rules,73.86
Cuenca Mediterránea Andaluza,"Viñuela, La",52.72
Cuencas Internas de Cataluña,Boadella,56.6
Cuencas Internas de Cataluña,Catllar,9.04
Cuencas Internas de Cataluña,Foix,88.92
Cuencas Internas de Cataluña,La Baells,70.98
Cuencas Internas de Cataluña,La Llosa del Cavall,65.65
Cuencas Internas de Cataluña,Riudecanyes,50.05
Cuencas Internas de Cataluña,Sant Pons,77.22
Cuencas Internas de Cataluña,Sau,62.02
Cuencas Internas de Cataluña,Susqueda,69.92
Cuencas Internas del País Vasco,Ibai-Eder,80.53
Cuencas Internas del País Vasco,Urkulu,81.31
Duero,"Agavanzal, Nª Sª de",83.74
Duero,Aguilar,52.26
Duero,Aldeadávila,94.27
Duero,Almendra,67.0
Duero,Arlanzón,79.13
Duero,Barrios de Luna,53.76
Duero,Burgomillodo,64.16
Duero,Camporredondo,56.89
Duero,Casares de Arbas,53.89
Duero,Castro,90.71
Duero,Castro de las Cogotas,53.7
Duero,Cernadilla,49.14
Duero,Cervera,60.34
Duero,Compuerto,57.21
Duero,Cuerda del Pozo,61.45
Duero,Irueña,57.2
Duero,Linares del Arroyo,61.1
Duero,"Pontón Alto, El",88.04
Duero,Porma-(Juan Benet),58.1
Duero,Puente Porto,26.41
Duero,Requejada,51.03
Duero,Riaño,62.0
Duero,Ricobayo,54.04
Duero,Rábanos,99.98
Duero,San José,100.0
Duero,Santa Teresa,66.22
Duero,Saucelle,95.98
Duero,Serones,68.43
Duero,Valparaíso,91.22
Duero,"Vencías, Las",87.53
Duero,Villagonzalo,99.99
Duero,Villalcampo,94.01
Duero,Villameca,51.96
Duero,Águeda,64.52
Duero,Úzquiza,64.52
Ebro,Albiña,69.78
Ebro,Alcañiz (Estanca),81.66
Ebro,Alloz,56.13
Ebro,Bachimaña (Lago),33.98
Ebro,Barasona,67.3
Ebro,Baserca,60.99
Ebro,Bramatuero Alto,27.01
Ebro,Búbal,50.76
Ebro,Calanda,54.04
Ebro,Camarasa,67.15
Ebro,Canelles,59.27
Ebro,Caspe,49.75
Ebro,Cavallers,62.76
Ebro,Cañón de Santolea,16.34
Ebro,Certescáns,71.7
Ebro,Ciurana,64.21
Ebro,Cueva Foradada,54.4
Ebro,Ebro,62.76
Ebro,Enciso,64.94
Ebro,Escales,71.91
Ebro,Escarra,44.44
Ebro,Eúgui,76.64
Ebro,González Lacasa,59.38
Ebro,"Grado, El",86.13
Ebro,Guiamets,47.54
Ebro,Ip,63.99
Ebro,Irabia,60.63
Ebro,Itoiz,59.49
Ebro,Lanuza,65.78
Ebro,Las Fitas,67.38
Ebro,Laverné,65.34
Ebro,Lechago,47.63
Ebro,Llauset,66.88
Ebro,Loteta (La),43.48
Ebro,Maidevera,64.18
Ebro,Mansilla,62.91
Ebro,Mar (Lago),60.1
Ebro,Mediano,56.54
Ebro,Mequinenza,77.04
Ebro,Moneva,28.96
Ebro,Monteagudo,50.4
Ebro,Montearagón,19.13
Ebro,Nagore,91.12
Ebro,Negro (Lago),88.8
Ebro,Oliana,66.5
Ebro,Pajares,56.11
Ebro,Parras (Las),80.0
Ebro,Pena,62.46
Ebro,"Peña, La",75.52
Ebro,Puente de Santolea,82.82
Ebro,Respomuso,39.21
Ebro,Rialb,60.39
Ebro,Ribarroja,95.47
Ebro,Saburo (Lago),7.71
Ebro,Sallente,33.35
Ebro,San Bartolomé,35.86
Ebro,San Lorenzo,90.0
Ebro,San Salvador,76.24
Ebro,Santa Ana,59.15
Ebro,Santa María de Belsué,18.0
Ebro,Santolea,51.05
Ebro,Sistema Aguas Limpias,43.67
Ebro,Sistema Alto Caldarés,40.16
Ebro,Sistema Capdella,59.28
Ebro,Sistema Escarra,53.11
Ebro,Sistema Lagos Espot,88.56
Ebro,Sistema Valle de Arán,57.78
Ebro,Sobrón,90.3
Ebro,Sotonera,67.7
Ebro,Terradets,92.56
Ebro,Terroba,12.57
Ebro,"Torcas, Las",55.93
Ebro,Tort (Lago),32.18
Ebro,"Tranquera, La",61.04
Ebro,Tremp ó Talárn,66.55
Ebro,Ullivarri,75.62
Ebro,Urdalur,72.57
Ebro,Urdiceto,40.0
Ebro,Urrunaga,69.4
Ebro,Vadiello,62.69
Ebro,"Val, El",72.44
Ebro,Valdepatao,16.28
Ebro,Yesa,60.49
Galicia Costa,Barrie de la Maza,51.37
Galicia Costa,Cecebre,66.25
Galicia Costa,Eiras,84.42
Galicia Costa,Eume,84.07
Galicia Costa,Fervenza,58.19
Galicia Costa,"Forcadas, As",81.28
Galicia Costa,Portodemouros,62.75
Galicia Costa,"Ribeira, A",77.12
Galicia Costa,Riocobo,70.63
Galicia Costa,Sta Uxia,87.6
Galicia Costa,Villagudín,70.68
Guadalete-Barbate,Almodóvar,60.51
Guadalete-Barbate,Arcos de la Frontera,94.0
Guadalete-Barbate,Barbate,51.29
Guadalete-Barbate,Bornos,51.57
Guadalete-Barbate,Celemín,52.22
Guadalete-Barbate,Guadalcacín II,54.78
Guadalete-Barbate,"Hurones, Los",61.83
Guadalete-Barbate,Zahara-El Gastor,70.76
Guadalquivir,Agrio (Aznalcollar),76.84
