demarcacion_hidrografica,nombre_embalse,volumen_medio_10
Cantábrico Occidental,Alfilorios,6.02
Cantábrico Occidental,Alsa - Mediajo,19.26
Cantábrico Occidental,Arbón,35.4
Cantábrico Occidental,"Barca, La",26.34
Cantábrico Occidental,"Cohilla, La",5.14
Cantábrico Occidental,Doiras,94.34
Cantábrico Occidental,Rioseco,3.04
Cantábrico Occidental,Salime,183.76
Cantábrico Occidental,Somiedo (Lagos),2.17
Cantábrico Occidental,Tanes,27.72
Cantábrico Oriental,Añarbe,31.1
Cantábrico Oriental,Ibiur,6.07
Cantábrico Oriental,Ordunte,17.6
Cantábrico Oriental,San Antón,4.52
Cuenca Mediterránea Andaluza,Benínar,14.29
Cuenca Mediterránea Andaluza,Béznar,37.25
Cuenca Mediterránea Andaluza,Casasola,12.48
Cuenca Mediterránea Andaluza,Charco Redondo,45.94
Cuenca Mediterránea Andaluza,Concepción,43.76
Cuenca Mediterránea Andaluza,Conde Guadalhorce,37.66
Cuenca Mediterránea Andaluza,Cuevas de Almanzora,19.17
Cuenca Mediterránea Andaluza,Guadalhorce-Guadalteba,156.58
Cuenca Mediterránea Andaluza,Guadarranque,59.91
Cuenca Mediterránea Andaluza,Limonero,9.5
Cuenca Mediterránea Andaluza,Rules,81.98
Cuenca Mediterránea Andaluza,"Viñuela, La",88.4
Cuencas Internas de Cataluña,Boadella,34.67
Cuencas Internas de Cataluña,Catllar,5.34
Cuencas Internas de Cataluña,Foix,4.38
Cuencas Internas de Cataluña,La Baells,78.44
Cuencas Internas de Cataluña,La Llosa del Cavall,44.98
Cuencas Internas de Cataluña,Riudecanyes,2.5
Cuencas Internas de Cataluña,Sant Pons,18.61
Cuencas Internas de Cataluña,Sau,102.93
Cuencas Internas de Cataluña,Susqueda,162.92
Cuencas Internas del País Vasco,Ibai-Eder,8.86
Cuencas Internas del País Vasco,Urkulu,8.13
Duero,"Agavanzal, Nª Sª de",25.82
Duero,Aguilar,129.08
Duero,Aldeadávila,108.04
Duero,Almendra,1754.49
Duero,Arlanzón,17.52
Duero,Barrios de Luna,165.59
Duero,Burgomillodo,9.06
Duero,Camporredondo,39.82
Duero,Casares de Arbas,12.57
Duero,Castro,25.31
Duero,Castro de las Cogotas,26.86
Duero,Cernadilla,125.31
Duero,Cervera,6.3
Duero,Compuerto,54.35
Duero,Cuerda del Pozo,146.91
Duero,Irueña,62.92
Duero,Linares del Arroyo,34.7
Duero,"Pontón Alto, El",6.16
Duero,Porma-(Juan Benet),184.75
Duero,Puente Porto,6.07
Duero,Requejada,33.34
Duero,Riaño,404.8
Duero,Ricobayo,635.28
Duero,Rábanos,8.0
Duero,San José,6.0
Duero,Santa Teresa,328.47
Duero,Saucelle,173.72
Duero,Serones,4.11
Duero,Valparaíso,151.02
Duero,"Vencías, Las",4.24
Duero,Villagonzalo,6.0
Duero,Villalcampo,62.05
Duero,Villameca,10.39
Duero,Águeda,14.84
Duero,Úzquiza,48.39
Ebro,Albiña,3.75
Ebro,Alcañiz (Estanca),5.72
Ebro,Alloz,36.84
Ebro,Bachimaña (Lago),2.38
Ebro,Barasona,59.07
Ebro,Baserca,13.42
Ebro,Bramatuero Alto,1.35
Ebro,Búbal,32.38
Ebro,Calanda,29.18
Ebro,Camarasa,83.24
