,nombre_embalse,demarcacion_hidrografica,ccaa,provincia,uso,coordenadas,x,y
0,"aceña, la",tajo,Castilla Y León,Ávila,"Abastecimiento
Defensa frente avenidas","40.6125237900001,-4.22148248499997","40,6125237900001","-4,22148248499997"
1,"agrio, el",guadalquivir,Andalucía,Sevilla,"Abastecimiento
Defensa frente avenidas","37.5322020510001,-6.28346466799997","37,5322020510001","-6,28346466799997"
2,aguascebas,guadalquivir,Andalucía,Jaén,Abastecimiento,"38.0435042350001,-2.95222543699992","38,0435042350001","-2,95222543699992"
3,agueda,duero,Castilla Y León,Salamanca,"Abastecimiento
Ganadero
Defensa frente avenidas","40.529781939,-6.48161367799997","40,529781939","-6,48161367799997"
4,"aguijon, el",guadiana,Extremadura,Badajoz,Abastecimiento,"38.473447859,-6.92088528799997","38,473447859","-6,92088528799997"
5,aguilar de campoo,duero,Castilla Y León,Palencia,"Abastecimiento
Minería
Industrial
Hidroeléctrico
Ganadero
Defensa frente avenidas","42.7950910920001,-4.28734412199998","42,7950910920001","-4,28734412199998"
6,alange,guadiana,Extremadura,Badajoz,"Abastecimiento
Ganadero
Defensa frente avenidas","38.7874608500001,-6.26830306899996","38,7874608500001","-6,26830306899996"
7,alarcon,jucar,Castilla - La Mancha,Cuenca,"Abastecimiento
Hidroeléctrico
Ganadero
Defensa frente avenidas","39.5643548690001,-2.11225016699996","39,5643548690001","-2,11225016699996"
8,albarellos,miño-sil,Galicia,Ourense,"Abastecimiento
Defensa frente avenidas","42.3997502070001,-8.19041297799993","42,3997502070001","-8,19041297799993"
9,alcorlo,tajo,Castilla - La Mancha,Guadalajara,"Abastecimiento
Defensa frente avenidas","41.008581625,-3.02478278699994","41,008581625","-3,02478278699994"
10,aldeadavila,duero,Castilla Y León,Salamanca,Abastecimiento,"41.211678448,-6.68578589399993","41,211678448","-6,68578589399993"
11,alfonso xiii,segura,Región De Murcia,Murcia,"Abastecimiento
Defensa frente avenidas","38.2232084,-1.59952768299996","38,2232084","-1,59952768299996"
12,algar,jucar,Comunitat Valenciana,"València,Valencia","Abastecimiento
Defensa frente avenidas","39.787914266,-0.37682482699995","39,787914266","-0,37682482699995"
13,"algeciras, rambla de",segura,Región De Murcia,Murcia,"Abastecimiento
Defensa frente avenidas","37.887515039,-1.38566705299996","37,887515039","-1,38566705299996"
14,alloz,ebro,Comunidad Foral De Navarra,Navarra,"Abastecimiento
Defensa frente avenidas","42.70627432,-1.94249903099995","42,70627432","-1,94249903099995"
15,almendra,duero,Castilla Y León,Zamora,Abastecimiento,"41.2714941880001,-6.32020866599993","41,2714941880001","-6,32020866599993"
16,almodovar,guadalete y barbate,Andalucía,Cádiz,"Abastecimiento
Defensa frente avenidas","36.1536149680001,-5.64973106899993","36,1536149680001","-5,64973106899993"
17,almoguera,tajo,Castilla - La Mancha,Guadalajara,"Abastecimiento
Ganadero
Defensa frente avenidas","40.2743056580001,-2.95882007899996","40,2743056580001","-2,95882007899996"
18,alsa torina,cantabrico occidental,Cantabria,Cantabria,Abastecimiento,"43.0720798520001,-4.01289343399998","43,0720798520001","-4,01289343399998"
19,amadorio,jucar,Comunitat Valenciana,"Alacant,Alicante","Abastecimiento
Defensa frente avenidas","38.5337220420001,-0.264786822999952","38,5337220420001","-0,264786822999952"
20,andevalo,guadiana,Andalucía,Huelva,Abastecimiento,"37.6251957920001,-7.40050286999997","37,6251957920001","-7,40050286999997"
21,aracena,guadalquivir,Andalucía,Huelva,Abastecimiento,"37.9078896870001,-6.45184509099994","37,9078896870001","-6,45184509099994"
22,arbon,cantabrico occidental,Principado De Asturias,Asturias,Abastecimiento,"43.4770926850001,-6.73016840999998","43,4770926850001","-6,73016840999998"
23,arcos,guadalete y barbate,Andalucía,Cádiz,"Abastecimiento
Defensa frente avenidas","36.7513393790001,-5.79558309999993","36,7513393790001","-5,79558309999993"
24,arenos,jucar,Comunitat Valenciana,"Castelló,Castellón","Abastecimiento
Defensa frente avenidas","40.086011408,-0.548482762999924","40,086011408","-0,548482762999924"
25,arenoso,guadalquivir,Andalucía,Córdoba,"Abastecimiento
Defensa frente avenidas","38.0210076590001,-4.44123809399997","38,0210076590001","-4,44123809399997"
26,argos,segura,Región De Murcia,Murcia,"Abastecimiento
Defensa frente avenidas","38.1723978200001,-1.73353032399996","38,1723978200001","-1,73353032399996"
27,arlanzon,duero,Castilla Y León,Burgos,"Abastecimiento
Ganadero
Defensa frente avenidas","42.263942951,-3.33957144699997","42,263942951","-3,33957144699997"
28,arquillo de san blas,jucar,Aragón,Teruel,"Abastecimiento
Hidroeléctrico
Ganadero
Defensa frente avenidas","40.3639950640001,-1.20489484199993","40,3639950640001","-1,20489484199993"
29,"atance, el",tajo,Castilla - La Mancha,Guadalajara,"Abastecimiento
Ganadero
Defensa frente avenidas","41.075332577,-2.78506228099997","41,075332577","-2,78506228099997"
30,"atazar, el",tajo,Comunidad De Madrid,Madrid,"Abastecimiento
Ganadero
Defensa frente avenidas","40.9119621410001,-3.47348717199998","40,9119621410001","-3,47348717199998"
31,azutan,tajo,Castilla - La Mancha,Toledo,"Abastecimiento
Defensa frente avenidas","39.7779346240001,-5.08911715899995","39,7779346240001","-5,08911715899995"
32,añarbe,cantabrico oriental,País Vasco,"Gipuzkoa,Guipúzcoa",Abastecimiento,"43.21230153,-1.87524544699994","43,21230153","-1,87524544699994"
33,bachimaña alto,ebro,Aragón,Huesca,"Abastecimiento
Defensa frente avenidas","42.782028102,-0.223491101999969","42,782028102","-0,223491101999969"
34,"baells, la",cuencas internas de cataluña,Cataluña,Barcelona,"Abastecimiento
Hidroeléctrico
Ganadero
Defensa frente avenidas","42.121967372,1.87834263000002","42,121967372","1,87834263000002"
35,barasona,ebro,Aragón,Huesca,"Abastecimiento
Ganadero
Defensa frente avenidas","42.124230776,0.311147826000024","42,124230776","0,311147826000024"
36,barbate,guadalete y barbate,Andalucía,Cádiz,Abastecimiento,"36.37044293,-5.74144173299993","36,37044293","-5,74144173299993"
37,barcena,miño-sil,Castilla Y León,León,"Abastecimiento
Hidroeléctrico
Ganadero
Defensa frente avenidas","42.577466988,-6.56029138499997","42,577466988","-6,56029138499997"
38,barrie de la maza,galicia-costa,Galicia,A Coruña,Abastecimiento,"42.8649691900001,-8.79707815799998","42,8649691900001","-8,79707815799998"
39,barrios de luna,duero,Castilla Y León,León,"Abastecimiento
Ganadero
Defensa frente avenidas","42.8497176120001,-5.86372470099997","42,8497176120001","-5,86372470099997"
40,baserca,ebro,Cataluña,Lleida,"Hidroeléctrico
Defensa frente avenidas","42.578713312,0.758746737000024","42,578713312","0,758746737000024"
41,"bautista, la",guadalquivir,Andalucía,Sevilla,Abastecimiento,"37.6571849600001,-5.63911754499998","37,6571849600001","-5,63911754499998"
42,"bayco, rambla de",segura,Castilla - La Mancha,Albacete,Abastecimiento,"38.6400374940001,-1.50110869599996","38,6400374940001","-1,50110869599996"
43,baños de montemayor,tajo,Extremadura,Cáceres,Abastecimiento,"40.281682582,-5.89538451999994","40,281682582","-5,89538451999994"
44,belesar,miño-sil,Galicia,Lugo,"Abastecimiento
Hidroeléctrico
Ganadero
Defensa frente avenidas","42.6287771620001,-7.71239387399993","42,6287771620001","-7,71239387399993"
